title,date,summary,elapsed_time
"北, 신형 미사일 발사대 250대 전방 배치…한미연합훈련 ‘맞불’(종합)",2024.08.05. 오후 3:48,"
● 북한은 250대의 신형 전술탄도미사일 발사대를 최전방에 배치하고, 김정은이 인수식에서 전술핵 능력을 강조했습니다. 이 발사대는 화성-11라형을 발사할 수 있으며 110㎞를 사거리로 갖추고 있습니다. 전문가들은 이를 대남 위협의 수단으로 볼 가능성을 언급하고 있습니다. 김주애도 이번 인수식에 참석했습니다.",2.4652557373046875
폐기돼도 또 돌아오는 野 좀비법안들,2024.08.05. 오후 5:55,"● 민주당은 21대 국회에서 거부권 행사된 양곡관리법, 농안법, 한우법을 22대 국회에서 재추진하고 있다. 정부와 농업계의 반대 속에 이들 법안은 거부권 우려를 불러일으키지만 민주당은 당론으로 처리하고 있다. 이들 법안은 농업계와 정부 사이에서 갈등을 야기하고 있으며, 정부는 재정 부담과 시장 조정 기능 방해 우려를 제기하고 있다. 국회는 여론이 갈리는 상황에서 야당의 대안 법안도 등장하고 있다.",3.2293858528137207
"'민주당 심장' 호남서도 투표율 20%대…""민주당, 이래서 되겠나""[르포]",2024.08.05. 오후 5:29,"● 더불어민주당은 윤석열 대통령 명예훼손 사건 수사 중 야당 정치인과 언론인들의 통신자료 조회를 공세하며 '정치 사찰'로 규정하고 확전을 예고했습니다. 야당은 윤석열 후보의 공수처 통신자료 조회 비판 발언을 인용하며 윤 정권을 비판했고, 여권은 '내로남불'이라며 역공을 했습니다. 국민의힘은 당 차원의 반응을 삼가는 모습이며, 추경호 원내대표는 정치적 멘트를 삼가는 것이 바람직하다고 밝혔습니다.",3.328507900238037
"야당 단독으로 '노란봉투법' 처리…여, 김상훈 정책위의장 추인",2024.08.05. 오후 5:22,"● 호남 지역에서는 더불어민주당 전당대회 투표율이 20%대로 낮아지고 있으며, 이재명 후보의 대선 후보로의 인기가 높아지는 가운데 김두관 후보에 대한 냉담한 반응이 나타나고 있습니다. 최고위원 후보 경선에서는 다양한 후보들이 치열하게 경쟁하고 있으며, 국민의힘과의 대립에서 민주당 당원들의 참여가 중요하다는 목소리가 나오고 있습니다. 민주당은 당헌 개정을 통해 당대표 선출 방식을 변경하고 있습니다.",3.4029948711395264
"北, 핵탄두 싣는다는 미사일 발사대 전방배치",2024.08.05. 오후 6:14,"● 북한이 신형 전술탄도미사일 발사대 인도 기념식을 열고 한미 연합 군사훈련 견제 및 내부 결속 강화를 목적으로 했습니다. 김정은은 강력한 힘의 구축으로 평화를 보장하고, 핵무력을 한층 강화하겠다고 밝혔습니다. 또한 최근 발생한 홍수 피해에도 불구하고 기념식을 강행한 것은 내부 결속을 다지기 위한 것으로 분석됩니다. 한미연합 군사훈련을 겨냥해 무기를 보여주는 것으로 예상되며, 대화와 대결 중 대결을 선택하겠다는 메시지를 미국에 전달한 것으로도 해석됩니다.",3.51725172996521
통신기록 조회 공방…3년 만에 뒤바뀐 공수에 국힘 ‘톤 다운’,2024.08.05. 오후 5:58,"● 더불어민주당 정을호 국회의원과 한국디지털콘텐츠크리에이터협회가 주최한 온라인 사이버렉카 피해 대책 토론회에서, 유튜버들이 사이버렉카 피해를 고발했습니다. 유튜버들은 법안 신설과 경찰·검찰의 신속한 수사, 플랫폼 규제 강화 등을 요구했으며, 전문가들은 강력한 법안이 필요하다고 주장했습니다. 이에 대해 국회의원은 사이버렉카로 인한 피해를 막기 위해 근본적인 대책이 필요하다고 밝혔으며, 쯔양 사건으로 유명한 유튜버들이 구속되는 등 사이버렉카 문제가 심각함을 보여주고 있습니다.",4.06459379196167
"미사일을 자주포처럼…북, 발사대 250대로 '1천발 동시발사' 과시(종합)",2024.08.05. 오후 6:00,"● 한동훈 국민의힘 대표가 취임 약 2주 만에 지도부를 완성했습니다. 압도적 득표율을 토대로 '변화'에 초점을 맞추었고, 친한계 인사를 주요 당직에 배치했습니다. 친정체제를 구축하며 5명의 범친한계와 4명의 범친윤계를 포함한 지도부를 구성했고, 세대교체를 위해 젊은 인재들을 중심에 두었습니다. 당내 결속을 강화하고 중진 의원들의 고견을 청취하며 당의 쇄신과 정책 추진에 주력할 예정입니다.",5.1956517696380615
정부가 손 놓은 '사이버렉카' 막을 방법은 없나?,2024.08.05. 오후 6:02,● 김정은 북한 국무위원장이 신형 전술탄도미사일발사대 250대 인도. 군수기업소 생산된 발사대는 국경 제1선 부대에 배치될 예정. 이동식 발사대로 사거리 110㎞ 미사일 발사 가능. 근거리탄도미사일 화성-11라형을 위한 발사대로 추정. 북한이 한국 군 미사일 방어망에 과부하 유도하는 의도로 보임. 김정은은 전술핵 효과성 제고를 강조하며 무기체계 평가. 북한은 앞으로도 미사일 전력을 강화할 예정임.,5.706224679946899
"'친정 체제' 갖춘 한동훈, 탕평 대신 '변화' 메시지 ...""당 쇄신 성과내야""",2024.08.05. 오후 5:32,"● 미국경기침체 우려로 국내증시 폭락에 대형 방산주 하락, 테마주 급등. 이란-이스라엘 갈등 고조로 전쟁 테마주 급등. 이란 보복 공격 예상에 휴니드, 스페코 등 상승. 한화에어로, 현대로템, LIG넥스원 등 대형 방산주 하락. 테마주는 시가총액 작아 큰 주가 변동. 단기 급등 주의 요망.",6.7244627475738525
"꺼진 마이크에도 노란봉투법 호소한 이용우 ""파업 천국? 파업 그렇게 쉽지 않아""",2024.08.05. 오후 6:09,"● 증시 폭락 우려로 개인투자자들이 안전자산인 금리형 ETF로 자금을 이동시키고 있다. 이에 따라 금투협에 따르면 CMA 계좌 잔액이 증가하고 있으며 CD금리형 ETF에도 자금이 몰리고 있다. 또한 금, 은을 기초자산으로 하는 ETF도 상승세를 보이고 있다. 한편, 증시 변동성이 커질수록 VIX 상품들이 급등하고 있으며 공포심리가 높아지고 있는 상황이다.",6.953429937362671
